x_mm,y_mm,z_mm,v_pp,v_max,v_min,frequency,pii,pd
-15.625,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.3482458099653,0.0007899999999999999
-12.5,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,554.4208546267167,0.0007899999999999999
-9.375,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.3641455611851,0.0007925
-6.25,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.578866467505,0.0007899999999999999
-3.125,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.3106925496888,0.0007899999999999999
0.0,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.4304122067086,0.0007925
3.125,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.9577126972481,0.0007925
6.25,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,554.8646519531727,0.0007925
9.375,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.5154655022316,0.0007925
12.5,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,554.8644256221944,0.0007899999999999999
15.625,-15.625,0.0,19.6,10.8,-8.8,992.063492063492,555.0557837490492,0.0007899999999999999
-15.625,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.8435900167103,0.0007925
-12.5,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.5259486344675,0.0007925
-9.375,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.0399912692826,0.0007925
-6.25,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.4395314590395,0.0007925
-3.125,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,554.6118213895883,0.0007899999999999999
0.0,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,554.9151225825083,0.0007899999999999999
3.125,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,554.6728635616981,0.0007899999999999999
6.25,-12.5,0.0,19.6,10.8,-8.8,992.063492063492,555.6024720812487,0.0007925
