trigger_level_V,fired,v_pp_V,v_max_V,v_min_V,frequency_MHz
0.5,1,0.581797,0.412547,-0.169250,5.2286
0.48,0,,,,
0.46,0,,,,
0.44,0,,,,
0.42,1,0.613531,0.433703,-0.179828,5.2334
0.4,1,0.581797,0.412547,-0.169250,5.2258
0.38,1,0.581797,0.412547,-0.169250,5.2460
0.36,1,0.581797,0.412547,-0.169250,5.2672
0.34,1,0.592375,0.423125,-0.169250,5.2559
0.32,1,0.581797,0.412547,-0.169250,5.2621
0.3,1,0.581797,0.412547,-0.169250,5.2471
0.28,1,0.581797,0.412547,-0.169250,5.2593
0.26,1,0.581797,0.412547,-0.169250,5.2630
0.24,1,0.581797,0.412547,-0.169250,5.2574
0.22,1,0.581797,0.412547,-0.169250,5.2619
0.2,1,0.349078,0.211562,-0.137516,5.1741
0.18,1,0.592375,0.412547,-0.179828,5.2296
0.16,1,0.338500,0.190406,-0.148094,5.1586
0.14,1,0.275031,0.148094,-0.126937,5.0110
0.12,1,0.243297,0.158672,-0.084625,5.2252
0.1,1,0.190406,0.116359,-0.074047,5.1410
0.08,1,0.190406,0.116359,-0.074047,5.1690
0.06,1,0.179828,0.105781,-0.074047,5.1563
0.04,1,0.338500,0.190406,-0.148094,5.1485
0.02,1,0.338500,0.190406,-0.148094,5.1479
